Point ID,density,Normals_0,Normals_1,Normals_2,Normals_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,velocity_0,velocity_1,velocity_2,velocity_Magnitude
8794,1,-5.35665e-06,-0.00302389,0.999995,1,-48,27,-0.964173,55.0811,1.19285e-06,-0.000135382,4.54612e-06,0.000135463
8844,1,9.5829e-05,-0.00291532,0.999996,1,-48,28,-0.961093,55.5781,1.13061e-06,-0.000125866,4.9257e-06,0.000125967
8896,1,-0.000112598,-0.00275199,0.999996,1,-48,29,-0.95836,56.0885,3.33556e-07,-0.000118761,5.3696e-06,0.000118882
8950,1,-1.54444e-05,-0.00273136,0.999996,1,-48,30,-0.955613,56.612,9.41251e-08,-0.000110353,5.69186e-06,0.000110499
9006,1,0.000325952,-0.00237474,0.999997,1,-48,31,-0.952928,57.1481,1.07274e-06,-0.000100378,5.97655e-06,0.000100562
9062,1,3.16816e-05,-0.00199215,0.999998,1,-48,32,-0.950896,57.6967,9.01124e-07,-9.41941e-05,6.29809e-06,9.44087e-05
9118,1,1.19476e-07,-0.00190499,0.999998,1,-48,33,-0.948975,58.2572,1.07324e-06,-8.66334e-05,6.51742e-06,8.68848e-05
9174,1,8.90789e-05,-0.00173638,0.999999,1,-48,34,-0.94712,58.8294,1.45296e-06,-7.85546e-05,6.66161e-06,7.885e-05
9231,1,8.53351e-05,-0.00144831,0.999999,1,-48,35,-0.945537,59.4129,1.07193e-06,-7.17204e-05,6.78891e-06,7.2049e-05
9289,1,9.53263e-05,-0.00115886,0.999999,1,-48,36,-0.944254,60.0074,8.94128e-07,-6.50985e-05,6.91592e-06,6.54709e-05
9347,1,4.82586e-05,-0.000952872,1,1,-48,37,-0.943245,60.6126,9.1092e-07,-5.90301e-05,7.10388e-06,5.9463e-05
9405,1,6.01371e-05,-0.000851764,1,1,-48,38,-0.942371,61.2282,1.1893e-06,-5.31471e-05,7.27738e-06,5.36562e-05
9463,1,0.000234992,-0.000633667,1,1,-48,39,-0.941563,61.8538,1.54896e-06,-4.71081e-05,7.38709e-06,4.77089e-05
9521,1,6.93803e-05,-0.000386129,1,1,-48,40,-0.94112,62.4891,1.17822e-06,-4.19655e-05,7.57469e-06,4.26599e-05
9579,1,3.45484e-05,-0.000282375,1,1,-48,41,-0.940801,63.1339,9.09399e-07,-3.6336e-05,7.72671e-06,3.71595e-05
9637,1,8.52939e-05,-0.000171386,1,1,-48,42,-0.940562,63.7878,1.26362e-06,-3.05414e-05,7.81811e-06,3.15515e-05
9695,1,1.13755e-05,-7.29812e-05,1,1,-48,43,-0.940462,64.4506,1.52667e-06,-2.55191e-05,7.93191e-06,2.6767e-05
9753,1,-3.71929e-05,-7.12167e-05,1,1,-48,44,-0.940418,65.1221,1.14591e-06,-2.06491e-05,8.01471e-06,2.21795e-05
9811,1,5.58479e-05,-7.15786e-05,1,1,-48,45,-0.940322,65.8019,1.00412e-06,-1.53797e-05,8.07395e-06,1.73992e-05
9869,1,3.49792e-05,-3.49641e-05,1,1,-48,46,-0.940277,66.4897,1.07241e-06,-1.00559e-05,8.11468e-06,1.29661e-05
9927,1,3.85148e-05,-2.31466e-07,1,1,-48,47,-0.940253,67.1854,9.87714e-07,-4.78386e-06,8.13832e-06,9.49174e-06
9985,1,-1.47419e-06,2.41162e-05,1,1,-48,48,-0.940277,67.8888,1.08197e-06,4.172e-07,8.17651e-06,8.25833e-06
1963,1,1.3434e-05,0.0199727,0.999801,1,-47,-20,-1.00832,51.0883,6.16137e-06,0.000193003,-1.12986e-07,0.000193101
2060,1,0.000123642,0.0334217,0.999441,1,-47,-19,-1.03283,50.7057,7.37257e-06,0.000196581,4.1477e-08,0.000196719
2157,1,0.000205957,0.0510428,0.998696,1,-47,-18,-1.07297,50.3404,1.02681e-05,0.000197621,1.54414e-06,0.000197893
2263,1,0.000277413,0.0574799,0.998347,1,-47,-17,-1.13006,49.9928,1.75077e-05,0.000194537,6.8588e-06,0.000195443
2359,1,0.000332165,0.0468784,0.998901,1,-47,-16,-1.18065,49.6628,2.05177e-05,0.000187452,1.10962e-05,0.000188898
2447,1,0.000387541,0.026799,0.999641,1,-47,-15,-1.21626,49.3506,3.22023e-05,0.000177692,1.4228e-05,0.000181146
2531,1,0.0003757,0.00414829,0.999991,1,-47,-14,-1.22946,49.0562,2.23247e-05,0.000166506,1.48352e-05,0.00016865
2609,1,0.000385355,-0.0110552,0.999939,1,-47,-13,-1.2238,48.7801,2.93373e-05,0.000155335,1.27246e-05,0.000158592
2685,1,0.000348868,-0.015986,0.999872,1,-47,-12,-1.20943,48.5228,1.94978e-05,0.000144842,9.45087e-06,0.000146453
2776,1,0.000321501,-0.0137371,0.999906,1,-47,-11,-1.19472,48.2849,1.3836e-05,0.000135165,6.35704e-06,0.00013602
2867,1,0.000322081,-0.00681202,0.999977,1,-47,-10,-1.18434,48.0666,1.64368e-05,0.000126192,3.38888e-06,0.000127303
2962,1,0.000321943,0.00216538,0.999998,1,-47,-9,-1.18226,47.8685,1.34004e-05,0.000117584,1.30435e-06,0.000118352
3055,1,0.000346212,0.0103351,0.999947,1,-47,-8,-1.18831,47.6908,2.0436e-05,0.000108786,3.93507e-08,0.000110689
3150,1,0.000348816,0.016513,0.999864,1,-47,-7,-1.20116,47.5336,1.80623e-05,9.92896e-05,-2.85087e-07,0.00010092
3241,1,0.000354459,0.0202815,0.999794,1,-47,-6,-1.21841,47.3971,1.59496e-05,8.87686e-05,3.49123e-07,9.01907e-05
3333,1,0.000388448,0.0220548,0.999757,1,-47,-5,-1.23796,47.2814,2.32875e-05,7.70443e-05,8.8337e-07,8.04917e-05
3424,1,0.000412785,0.0205102,0.99979,1,-47,-4,-1.25825,47.1867,2.80062e-05,6.38334e-05,2.71281e-06,6.97597e-05
3513,1,0.000405615,0.0158144,0.999875,1,-47,-3,-1.27483,47.1129,2.24478e-05,4.92085e-05,3.09993e-06,5.41756e-05
3602,1,0.000413583,0.0126371,0.99992,1,-47,-2,-1.28656,47.0601,2.57724e-05,3.3762e-05,3.20377e-06,4.25952e-05
3691,1,0.000402688,0.00845572,0.999964,1,-47,-1,-1.29739,47.0285,2.40669e-05,1.75253e-05,4.70983e-06,3.01419e-05
3780,1,0.000373859,-0.00179748,0.999998,1,-47,0,-1.30164,47.018,1.53457e-05,3.8958e-07,5.57919e-06,1.63331e-05
3869,1,0.000386994,-0.00844216,0.999964,1,-47,1,-1.29418,47.0284,2.39707e-05,-1.64252e-05,3.42763e-06,2.92597e-05
3958,1,0.000363031,-0.0104253,0.999946,1,-47,2,-1.2866,47.0601,1.5162e-05,-3.2486e-05,3.28775e-06,3.60005e-05
4047,1,0.000365748,-0.0149691,0.999888,1,-47,3,-1.27556,47.1129,1.8663e-05,-4.81298e-05,3.32419e-06,5.17285e-05
4136,1,0.000357346,-0.0198604,0.999803,1,-47,4,-1.25981,47.1867,1.69187e-05,-6.28837e-05,2.92692e-06,6.51856e-05
4227,1,0.00035258,-0.0220966,0.999756,1,-47,5,-1.23987,47.2815,1.81744e-05,-7.62827e-05,1.41523e-06,7.84307e-05
4318,1,0.000337357,-0.0206785,0.999786,1,-47,6,-1.21992,47.3971,1.55029e-05,-8.81768e-05,1.87875e-07,8.95295e-05
4409,1,0.000323404,-0.0170965,0.999854,1,-47,7,-1.20239,47.5336,1.58932e-05,-9.88488e-05,-1.58602e-09,0.000100118
4502,1,0.000300015,-0.0106844,0.999943,1,-47,8,-1.18878,47.6908,1.01989e-05,-0.00010845,2.88842e-07,0.000108929
4597,1,0.000295717,-0.00177513,0.999998,1,-47,9,-1.18285,47.8686,1.09351e-05,-0.00011728,1.18291e-06,0.000117795
4692,1,0.000298484,0.00690631,0.999976,1,-47,10,-1.18552,48.0667,9.43697e-06,-0.000126016,3.09848e-06,0.000126407
